year,title,category,won,id
2002,Best Motion Picture - Drama,"Beautiful Mind, a",yes,453
2002,Best Motion Picture - Drama,In The Bedroom,no,1999
2002,Best Motion Picture - Drama,"Lord Of The Rings: The Fellowship Of The Ring, The",no,120
2002,Best Motion Picture - Drama,"Man Who Wasn''t There, The",no,10778
2002,Best Motion Picture - Drama,Mulholland Dr.,no,1018
