year,title,category,won,id
2006,Best Motion Picture - Drama,Brokeback Mountain,yes,142
2006,Best Motion Picture - Drama,a History Of Violence,no,59
2006,Best Motion Picture - Drama,"Constant Gardener, The",no,1985
2006,Best Motion Picture - Drama,"Good Night, And Good Luck",no,3291
2006,Best Motion Picture - Drama,Match Point,no,116
