"year","title","category","won","id"
"2001 (74th)","Best Picture","A Beautiful Mind","yes",453
"2001 (74th)","Best Picture","Gosford Park","no",5279
"2001 (74th)","Best Picture","In the Bedroom","no",1999
"2001 (74th)","Best Picture","The Lord of the Rings: The Fellowship of the Ring","no",120
"2001 (74th)","Best Picture","Moulin Rouge","no",824
