year,title,category,won,id
2005,Best Motion Picture - Drama,"Aviator, The",yes,2567
2005,Best Motion Picture - Drama,Closer,no,2288
2005,Best Motion Picture - Drama,Finding Neverland,no,866
2005,Best Motion Picture - Drama,Hotel Rwanda,no,205
2005,Best Motion Picture - Drama,Kinsey,no,11184
2005,Best Motion Picture - Drama,Million Dollar Baby,no,70
