year,title,category,won,id
2010,Best Motion Picture - Comedy Or Musical,"Hangover, The",yes,18785
2010,Best Motion Picture - Comedy Or Musical,(500) Days Of Summer,no,19913
2010,Best Motion Picture - Comedy Or Musical,It's Complicated,no,22897
2010,Best Motion Picture - Comedy Or Musical,Julie & Julia,no,24803
2010,Best Motion Picture - Comedy Or Musical,Nine,no,10197
