"year","title","category","won","id"
"2008 (81st)","Best Picture","Slumdog Millionaire","yes",12405
"2008 (81st)","Best Picture","The Curious Case of Benjamin Button","no",4922
"2008 (81st)","Best Picture","Frost/Nixon","no",11499
"2008 (81st)","Best Picture","Milk","no",10139
"2008 (81st)","Best Picture","The Reader","no",8055
