"year","title","category","won","id"
"2002 (75th)","Best Picture","Chicago","yes",1574
"2002 (75th)","Best Picture","Gangs of New York","no",3131
"2002 (75th)","Best Picture","The Hours","no",590
"2002 (75th)","Best Picture","The Lord of the Rings: The Two Towers","no",121
"2002 (75th)","Best Picture","The Pianist","no",423
