year,title,category,won,id
2001,Best Motion Picture - Drama,Gladiator,yes,98
2001,Best Motion Picture - Drama,Billy Elliot,no,71
2001,Best Motion Picture - Drama,Erin Brockovich,no,462
2001,Best Motion Picture - Drama,Sunshine,no,355567
2001,Best Motion Picture - Drama,Traffic,no,1900
2001,Best Motion Picture - Drama,Wonder Boys,no,413253
