year,title,category,won,id
2003,Best Motion Picture - Drama,"Hours, The",yes,590
2003,Best Motion Picture - Drama,About Schmidt,no,2755
2003,Best Motion Picture - Drama,Gangs Of New York,no,3131
2003,Best Motion Picture - Drama,"Lord Of The Rings: The Two Towers, The",no,121
2003,Best Motion Picture - Drama,"Pianist, The",no,423
