year,title,category,won,id
2007,Best Motion Picture - Drama,Babel,yes,1164
2007,Best Motion Picture - Drama,Bobby,no,10741
2007,Best Motion Picture - Drama,"Departed, The",no,1422
2007,Best Motion Picture - Drama,Little Children,no,1440
2007,Best Motion Picture - Drama,"Queen, The",no,1165
