year,title,category,won,id
2011,Best Motion Picture - Comedy Or Musical,"Kids Are All Right, The",yes,39781
2011,Best Motion Picture - Comedy Or Musical,Alice in Wonderland,no,83053
2011,Best Motion Picture - Comedy Or Musical,Burlesque,no,42297
2011,Best Motion Picture - Comedy Or Musical,Red,no,39514
2011,Best Motion Picture - Comedy Or Musical,"Tourist, The",no,37710
