"year","title","category","won","id"
"2006 (79th)","Best Picture","The Departed","yes",1422
"2006 (79th)","Best Picture","Babel","no",1164
"2006 (79th)","Best Picture","Letters from Iwo Jima","no",1251
"2006 (79th)","Best Picture","Little Miss Sunshine","no",773
"2006 (79th)","Best Picture","The Queen","no",1165
