"year","title","category","won","id"
"2004 (77th)","Best Picture","Million Dollar Baby","yes",70
"2004 (77th)","Best Picture","The Aviator","no",2567
"2004 (77th)","Best Picture","Finding Neverland","no",866
"2004 (77th)","Best Picture","Ray","no",1677
"2004 (77th)","Best Picture","Sideways","no",9675
